case_id,customer_name,order_reference,hold_date,order_value,hold_reason,po_status,service_status,credit_status,contract_status,customer_response,last_update_date,hold_category,owner_team,recommended_action,age_days,priority,decision_reason
HOLD-008,Clearview Housing,ORD-1008,2026-02-01,88000,Data quality issue,Received,Ready,Clear,Active,Received,2026-07-10,Data Quality,Revenue Operations,Correct source data and revalidate,181,Critical,"Data Quality; 181 days on hold; value 88,000"
HOLD-003,Harbour Retail Group,ORD-1003,2026-03-20,76000,Credit review required,Received,Ready,Review,Active,Received,2026-07-20,Credit Control,Credit Team,Complete credit review before release,134,Critical,"Credit Control; 134 days on hold; value 76,000"
HOLD-012,Rivergate Systems,ORD-1012,2026-03-05,15000,Credit review required,Received,Ready,Blocked,Active,Received,2026-07-12,Credit Control,Credit Team,Complete credit review before release,149,Critical,"Credit Control; 149 days on hold; value 15,000"
HOLD-005,Silverline Logistics,ORD-1005,2026-01-12,9800,Duplicate order suspected,Received,Ready,Clear,Active,Received,2026-07-15,Potential Duplicate,Billing Operations,Validate duplicate and cancel or release,201,Critical,"Potential Duplicate; 201 days on hold; value 9,800"
HOLD-006,Bluehaven Learning,ORD-1006,2026-07-27,54000,Purchase order missing,Missing,Ready,Clear,Active,Pending,2026-07-31,Commercial Documentation,Account Management,Obtain valid purchase order,5,High,"Commercial Documentation; 5 days on hold; value 54,000"
HOLD-011,Pinecrest Media,ORD-1011,2026-06-22,47000,Awaiting service activation,Received,Not Ready,Clear,Active,Received,2026-07-26,Service Readiness,Delivery Operations,Confirm service readiness and activation date,40,High,"Service Readiness; 40 days on hold; value 47,000"
HOLD-001,Northstar Analytics,ORD-1001,2026-06-10,42000,Purchase order missing,Missing,Ready,Clear,Active,Pending,2026-07-28,Commercial Documentation,Account Management,Obtain valid purchase order,52,High,"Commercial Documentation; 52 days on hold; value 42,000"
HOLD-007,Redwood Manufacturing,ORD-1007,2026-04-08,31000,Awaiting customer confirmation,Received,Ready,Clear,Active,Pending,2026-07-18,Customer Dependency,Account Management,Obtain customer confirmation,115,High,"Customer Dependency; 115 days on hold; value 31,000"
HOLD-010,Oakfield Consulting,ORD-1010,2026-05-02,23000,Contract clarification,Received,Ready,Clear,Review,Pending,2026-07-22,Contract Review,Commercial Operations,Resolve contract or pricing clarification,91,High,"Contract Review; 91 days on hold; value 23,000"
HOLD-002,Greenfield Services,ORD-1002,2026-05-15,18500,Awaiting service activation,Received,Not Ready,Clear,Active,Received,2026-07-25,Service Readiness,Delivery Operations,Confirm service readiness and activation date,78,High,"Service Readiness; 78 days on hold; value 18,500"
HOLD-009,Westbridge Foods,ORD-1009,2026-07-01,6500,No valid hold reason,Received,Ready,Clear,Active,Received,2026-07-29,Unclassified Exception,Billing Operations,Perform manual review and confirm valid hold reason,31,Medium,"Unclassified Exception; 31 days on hold; value 6,500"
HOLD-004,Maplebridge Health,ORD-1004,2026-07-18,12500,Contract clarification,Received,Ready,Clear,Review,Pending,2026-07-30,Contract Review,Commercial Operations,Resolve contract or pricing clarification,14,Low,"Contract Review; 14 days on hold; value 12,500"
